id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
237996295697115,192.168.100.201,108.59.161.4,6,4,449,790,1693308073.570075,1693308074.147335
1787543193795990,fe80:0000:0000:0000:0a00:27ff:fee9:bf3a,ff02:0000:0000:0000:0000:0000:0001:0002,1,0,130,0,1693308182.146838,1693308182.146838
944368070084411,192.168.100.201,142.250.201.131,9,10,2731,4616,1693307738.575291,1693307738.88604
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
1649258120258964,157.240.227.61,10.10.39.218,3,0,237,0,1693308006.50114,1693308006.658403
2212259615513555,fe80:0000:0000:0000:8da9:9355:2583:5ede,ff02:0000:0000:0000:0000:0000:0000:00fb,8,0,720,0,1693308040.498643,1693308041.532369
2212852305807087,192.168.100.201,104.156.80.32,1,1,95,156,1693307808.968431,1693307809.068858
665938247852853,8.8.8.8,10.10.39.218,1,0,102,0,1693308084.893749,1693308084.893749
666822994105555,192.168.100.201,216.239.32.10,1,1,86,143,1693307825.726227,1693307825.871563
385622894237845,192.168.100.201,104.156.84.32,1,1,95,156,1693307808.972949,1693307809.066326
1372249914014994,192.168.100.201,108.59.163.4,6,4,449,790,1693308074.064786,1693308074.636196
669717809325747,192.168.100.201,13.107.222.240,1,1,115,174,1693307935.779955,1693307935.819395
952086148961100,142.250.180.42,10.10.39.218,2,0,191,0,1693308084.021324,1693308089.181621
2078329652493299,192.168.100.201,108.59.164.4,6,4,449,790,1693308073.572403,1693308074.150729
671079313920054,192.168.100.201,13.107.222.36,1,1,90,106,1693307935.610358,1693307935.653055
1516165673708376,8.8.8.8,10.10.39.218,1,0,136,0,1693308006.060248,1693308006.060248
id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
1049809546203902,192.168.100.104,224.0.0.251,2,0,170,0,1693308181.676606,1693308182.687683
1142022494049508,fe80:0000:0000:0000:49fe:2a51:4c78:da1f,ff02:0000:0000:0000:0000:0000:0000:00fb,2,0,210,0,1693308181.677092,1693308182.689017
672707110974931,172.217.18.141,10.10.39.218,4,0,303,0,1693308003.603603,1693308056.960549
2080262367129202,192.168.100.201,13.107.206.240,1,1,98,159,1693307758.962162,1693307759.007329
1095830099365807,192.168.100.201,172.217.169.238,14,11,9709,4924,1693307854.561071,1693307854.962031
1518098404285367,192.168.100.201,13.107.206.39,1,1,99,240,1693307935.859063,1693307935.899527
675520314676558,8.8.8.8,10.10.39.218,1,0,145,0,1693308005.988494,1693308005.988494
